day,Temperature,T Max,T Min,RH,WS,body_temp
1,18.5,21.9,16.3,70,2,22.44493721
2,20.2,24.8,17.2,67,3.4,25.06402859
3,21.6,25.7,17.4,68,3.3,26.36041414
4,19.4,21.5,16.9,57,4.4,19.71554024
5,17.7,18.8,16.3,54,3.7,16.7849569
6,17.4,20.7,14.7,67,2.2,20.66105538
7,19.3,23.4,15.2,70,3.2,23.57385055
8,19.8,25,15.8,74,4.6,24.98427845
9,16.1,17.3,14.3,78,4,15.76563167
10,16.6,19.4,14.5,79,2.8,19.2065077
11,17.2,21.8,14.6,83,2.4,22.73588247
12,19.2,23.6,15,74,3.7,23.73786395
13,19,20.8,16.5,68,4.3,19.46917331
14,17.5,21.4,14.9,68,5.9,19.17799277
15,16.9,19,15.3,54,6.2,15.39729184
16,16.2,21,11.4,62,2.5,20.59068758
17,17.7,21.7,12.5,63,3,21.18002922
18,16.6,20.3,14.2,56,5.4,17.5629755
19,16.6,20.7,13.3,54,2.5,19.83292523
20,17.4,22.5,12.1,59,3.6,21.56723097
21,15.1,17.9,13.8,60,7.6,13.43138876
22,14,15.3,11.2,55,3,13.17032234
23,15,20.4,9.8,58,2.6,19.59905287
24,17.8,23.4,12.3,55,3.5,22.51788257
25,18.8,23.8,13.9,58,2.6,23.7721087
26,17.7,20.3,15.1,65,3.5,19.22563228
27,18.5,21.7,16,66,2.8,21.46536394
28,18.6,23.4,14.1,66,2.5,23.79925909
29,19.6,23.9,16,70,2.2,24.86642003
30,20.1,25.8,15.7,68,3.1,26.62097471
31,20.3,25.7,15.9,67,3,26.48956982
32,21.4,26,16.1,65,2.8,26.8764416
33,21.4,24.8,19.5,76,1.9,26.60079363
34,21.3,22.8,20.2,84,2.6,23.97194855
35,18.6,20.8,16.4,75,5.5,19.03219115
36,18.1,19.9,16.2,86,1.5,21.00777097
37,21.4,25.4,18.2,82,3.1,27.00513367
38,20.3,21.9,19.3,90,1.9,23.55820498
39,17.3,19.5,15.8,87,3.3,19.36940171
40,16.5,18.4,15.3,89,2.5,18.56917303
41,14.7,15.8,12.3,71,5.6,12.63558464
42,12.3,13.5,11.6,87,2.1,12.66228967
43,13.9,15.6,11.8,87,2.5,14.97618894
44,16,18.8,14.1,81,4.8,17.23893535
45,15.6,17.7,14,81,3.7,16.57634667
46,15.3,16.4,14.2,77,3,15.27205771
47,15.7,17.6,13.8,84,3.4,16.76727731
48,19.5,24.2,14.5,79,3.7,24.82051216
49,20.3,24.8,16.7,82,3.4,26.00030365
50,15.6,17.1,13.9,86,3,16.48032329
51,14.5,15.1,13.4,64,4.9,12.01127032
52,16,19.9,11.5,58,2.5,19.05975251
53,17.7,21.9,14.1,66,2.3,22.04028365
