day,Temperature,T Max,T Min,RH,WS,body_temp
1,20.2,24.8,16.3,67,1.6,26.23402859
2,21.7,26.1,16.6,64,1.5,27.78380675
3,24,28.3,20.9,64,2.1,30.274454
4,22,25.9,18.2,64,2.3,27.00516236
5,19.2,23,15.7,64,1.6,23.76590823
6,20.7,24.6,16.9,59,1.4,25.61303017
7,21.2,24.7,17.6,63,1.8,25.72698907
8,22.3,27.1,18.5,65,2.5,28.50647044
9,18.6,23.5,15.8,68,2.3,24.17161908
10,18.6,22.9,15,68,2.3,23.40807538
11,19.7,22.9,16.9,72,2.3,23.63084452
12,20.3,24.7,17.8,72,2.6,25.76541608
13,18.8,23.7,16,69,2.9,24.0955633
14,17.6,23.2,14.5,69,3.2,23.26100654
15,17.4,21,13.5,68,2.1,21.14833477
16,18.6,22.5,14.7,63,2.1,22.75967035
17,19.2,23.2,15,62,2,23.64403487
18,17.8,23.5,13.4,60,2.7,23.4496639
19,17,21.6,12,61,2.2,21.47325503
20,18.3,23.6,14.9,59,3.4,23.06147261
21,16.3,21,12.6,61,2.8,20.34607972
22,15.1,20.3,11.1,57,2.3,19.62549292
23,16.6,21.6,12.1,60,1.9,21.61679183
24,18.1,22.9,13.3,56,2.1,22.86976796
25,20.8,26.6,14.1,46,2.1,26.79292196
26,20.4,25.4,16.6,56,1.7,26.23333519
27,19,22.6,15.1,69,1.9,23.34263202
28,20,23.7,15.9,72,1.6,25.11589214
29,20.8,25.1,17.2,69,1.7,26.68344203
30,21.3,24.7,17.8,68,1.4,26.2972263
31,21.5,25.9,18.6,66,1.9,27.39841743
32,22.9,27.8,18,59,2.2,29.17646724
33,24.5,28.1,22.6,60,2,29.77162237
34,24.3,26.9,22.3,75,2.7,28.82099665
35,22.7,26,20.4,71,1.8,27.92857467
36,22,25.3,18.6,71,1.6,27.13743814
37,24.5,28.5,21.1,77,2.2,31.48313774
38,23.8,27.1,21.5,76,2.2,29.48796543
39,22.1,25,20.3,73,2.1,26.54611253
40,21.6,25.4,18.3,69,2.1,26.81423443
