data,day,max_power
2014/1/1,1,22979.85154
2014/1/2,2,26036.66245
2014/1/3,3,26497.05015
2014/1/4,4,24516.69596
2014/1/5,5,22994.79167
2014/1/6,6,26233.37364
2014/1/7,7,26998.51412
2014/1/8,8,26693.54839
2014/1/9,9,26782.24688
2014/1/10,10,26398.37869
2014/1/11,11,24600.87995
2014/1/12,12,23329.49971
2014/1/13,13,26879.15007
2014/1/14,14,27120.30075
2014/1/15,15,26727.27273
2014/1/16,16,26580.85809
2014/1/17,17,26256.13079
2014/1/18,18,24748.60335
2014/1/19,19,23643.18707
2014/1/20,20,26773.38355
2014/1/21,21,27030.14753
2014/1/22,22,26717.2524
2014/1/23,23,26659.61945
2014/1/24,24,26363.63636
2014/1/25,25,24373.41451
2014/1/26,26,23538.46154
2014/1/27,27,25467.18576
2014/1/28,28,24726.90148
2014/1/29,29,22120.20823
2014/1/30,30,19126.49165
2014/1/31,31,18828.45188
2014/2/1,32,18789.97407
2014/2/2,33,19816.13892
2014/2/3,34,20579.55167
2014/2/4,35,21593.40659
2014/2/5,36,25065.42056
2014/2/6,37,26063.04985
2014/2/7,38,26001.4782
2014/2/8,39,24103.29171
2014/2/9,40,23434.41002
2014/2/10,41,26490.70632
2014/2/11,42,26903.5533
2014/2/12,43,26887.31284
2014/2/13,44,26827.33374
2014/2/14,45,26129.21038
2014/2/15,46,24778.13505
2014/2/16,47,23390.74273
2014/2/17,48,26690.43375
2014/2/18,49,26949.35218
2014/2/19,50,26622.3812
2014/2/20,51,26499.18963
2014/2/21,52,26155.16258
2014/2/22,53,24230.56009
2014/2/23,54,23161.05769
2014/2/24,55,26235.363
2014/2/25,56,26507.44735
2014/2/26,57,26457.76567
2014/2/27,58,26455.46922
2014/2/28,59,24704.78558
2014/3/1,60,23820.84095
2014/3/2,61,22910.73124
2014/3/3,62,25956.03272
2014/3/4,63,26731.1412
2014/3/5,64,26345.04457
2014/3/6,65,26747.36189
2014/3/7,66,26454.65995
2014/3/8,67,24650.23318
2014/3/9,68,23380.12353
2014/3/10,69,26468.11071
2014/3/11,70,26761.67374
2014/3/12,71,26908.75233
2014/3/13,72,26688.46611
2014/3/14,73,26220.6047
2014/3/15,74,24384.57175
2014/3/16,75,23285.6291
2014/3/17,76,26523.1159
2014/3/18,77,27142.85714
2014/3/19,78,27634.04826
2014/3/20,79,26591.25964
2014/3/21,80,26118.01242
2014/3/22,81,24017.69088
2014/3/23,82,23054.39331
2014/3/24,83,26622.34043
2014/3/25,84,27029.56989
2014/3/26,85,27638.88889
2014/3/27,86,27989.37785
2014/3/28,87,28115.94203
2014/3/29,88,26039.47368
2014/3/30,89,23889.61892
2014/3/31,90,26954.51549
2014/4/1,91,26984.31846
2014/4/2,92,26804.38993
2014/4/3,93,26681.99737
2014/4/4,94,24598.78624
2014/4/5,95,22585.34365
2014/4/6,96,23039.16708
2014/4/7,97,27034.65982
2014/4/8,98,27717.54636
2014/4/9,99,27585.52632
2014/4/10,100,27703.61991
2014/4/11,101,27790.20979
2014/4/12,102,26000
2014/4/13,103,24988.9258
2014/4/14,104,27131.14754
2014/4/15,105,27748.34437
2014/4/16,106,27938.07642
2014/4/17,107,28630.73562
2014/4/18,108,28508.20842
2014/4/19,109,26538.20598
2014/4/20,110,24525.39764
2014/4/21,111,28259.74026
2014/4/22,112,28352.22319
2014/4/23,113,27645.8616
2014/4/24,114,28475.49909
2014/4/25,115,28553.90009
2014/4/26,116,25878.37838
2014/4/27,117,25031.09453
2014/4/28,118,27667.25873
2014/4/29,119,27584.8564
2014/4/30,120,27382.92011
2014/5/1,121,25804.68361
2014/5/2,122,27376.93864
2014/5/3,123,24953.7037
2014/5/4,124,24692.20246
2014/5/5,125,26793.17932
2014/5/6,126,27190.38817
2014/5/7,127,27549.90926
2014/5/8,128,28139.71147
2014/5/9,129,28108.31426
2014/5/10,130,25642.39195
2014/5/11,131,25311.5727
2014/5/12,132,29427.9661
2014/5/13,133,29534.88372
2014/5/14,134,30494.38202
2014/5/15,135,30017.03578
2014/5/16,136,29614.05927
2014/5/17,137,28222.72216
2014/5/18,138,26200.11242
2014/5/19,139,29807.01754
2014/5/20,140,29948.54202
2014/5/21,141,28495.88719
2014/5/22,142,29368.26992
2014/5/23,143,29051.94805
2014/5/24,144,27239.05724
2014/5/25,145,26778.30941
2014/5/26,146,31172.47239
2014/5/27,147,31025.85488
2014/5/28,148,31508.19672
2014/5/29,149,30937.5
2014/5/30,150,31055.51748
2014/5/31,151,28276.55311
2014/6/1,152,26712.47357
2014/6/2,153,27998.16345
2014/6/3,154,30511.09617
2014/6/4,155,30754.57875
2014/6/5,156,30711.11111
2014/6/6,157,30316.41791
2014/6/7,158,28712.01158
2014/6/8,159,26288.6143
2014/6/9,160,30285.02122
2014/6/10,161,30400.27137
2014/6/11,162,29857.3975
2014/6/12,163,29977.13415
2014/6/13,164,30408.67389
2014/6/14,165,27939.35217
2014/6/15,166,26810.93394
2014/6/16,167,31070.47279
2014/6/17,168,32035.79418
2014/6/18,169,32816.32653
2014/6/19,170,32760.68376
2014/6/20,171,32603.5503
2014/6/21,172,30417.56659
2014/6/22,173,28425.15846
2014/6/23,174,32536.06682
2014/6/24,175,32365.5914
2014/6/25,176,32578.36991
2014/6/26,177,32753.51591
2014/6/27,178,33239.55669
2014/6/28,179,30230.60797
2014/6/29,180,28651.68539
2014/6/30,181,33085.84687
2014/7/1,182,33610.31519
2014/7/2,183,33932.80632
2014/7/3,184,34208.41683
2014/7/4,185,34257.52856
2014/7/5,186,31442.92893
2014/7/6,187,30280.61224
2014/7/7,188,34843.26019
2014/7/8,189,33199.3007
2014/7/9,190,34727.5641
2014/7/10,191,34814.28571
2014/7/11,192,34759.68992
2014/7/12,193,31354.65663
2014/7/13,194,30221.94821
2014/7/14,195,34970.64579
2014/7/15,196,34972.27357
2014/7/16,197,34561.17021
2014/7/17,198,34946.92144
2014/7/18,199,34619.66605
2014/7/19,200,31251.14995
2014/7/20,201,29033.33333
2014/7/21,202,34099.56076
2014/7/22,203,34088.66995
2014/7/23,204,26807.62852
2014/7/24,205,32370.20316
2014/7/25,206,32829.30631
2014/7/26,207,30022.90951
2014/7/27,208,28643.34923
2014/7/28,209,33701.79949
2014/7/29,210,33983.88541
2014/7/30,211,34207.20721
2014/7/31,212,34161.42558
2014/8/1,213,34314.15929
2014/8/2,214,31819.23523
2014/8/3,215,29235.01577
2014/8/4,216,33741.33949
2014/8/5,217,32752.21953
2014/8/6,218,33303.48259
2014/8/7,219,33863.63636
2014/8/8,220,33895.95376
2014/8/9,221,30305.91434
2014/8/10,222,28428.92768
2014/8/11,223,32209.73783
2014/8/12,224,32001.3947
2014/8/13,225,31205.01636
2014/8/14,226,32392.4143
2014/8/15,227,33486.05578
2014/8/16,228,31288.96377
2014/8/17,229,29014.42308
2014/8/18,230,33249.34839
2014/8/19,231,32195.7672
2014/8/20,232,31678.6141
2014/8/21,233,32632.83109
2014/8/22,234,32939.73941
2014/8/23,235,29362.6883
2014/8/24,236,28841.56729
2014/8/25,237,33444.76744
2014/8/26,238,33761.68224
2014/8/27,239,34053.36722
2014/8/28,240,33921.80095
2014/8/29,241,33921.3198
2014/8/30,242,30896.60159
2014/8/31,243,28733.81295
2014/9/1,244,33378.54501
2014/9/2,245,33656.25
2014/9/3,246,33853.21101
2014/9/4,247,33575.41899
2014/9/5,248,33719.00826
2014/9/6,249,30816.32653
2014/9/7,250,27490.87591
2014/9/8,251,27942.38683
2014/9/9,252,33327.78702
2014/9/10,253,33013.29394
2014/9/11,254,33344.42596
2014/9/12,255,33184.52381
2014/9/13,256,30297.27498
2014/9/14,257,29209.62199
2014/9/15,258,34156.97674
2014/9/16,259,34304.63576
2014/9/17,260,34529.14798
2014/9/18,261,34316.54676
2014/9/19,262,33888.88889
2014/9/20,263,31099.23664
2014/9/21,264,26514.71437
2014/9/22,265,30901.28755
2014/9/23,266,31637.84334
2014/9/24,267,31981.24267
2014/9/25,268,31767.33781
2014/9/26,269,31875.65859
2014/9/27,270,28571.42857
2014/9/28,271,26674.77204
2014/9/29,272,31668.20276
2014/9/30,273,31838.5214
2014/10/1,274,31273.71274
2014/10/2,275,31376.67304
2014/10/3,276,30349.44238
2014/10/4,277,26331.13311
2014/10/5,278,24660.24612
2014/10/6,279,28170.73171
2014/10/7,280,28216.11253
2014/10/8,281,28539.14447
2014/10/9,282,28719.12168
2014/10/10,283,26498.62511
2014/10/11,284,25031.25
2014/10/12,285,24173.0635
2014/10/13,286,27939.11007
2014/10/14,287,27655.11684
2014/10/15,288,27407.67045
2014/10/16,289,27819.23715
2014/10/17,290,27943.54839
2014/10/18,291,25875
2014/10/19,292,24749.38875
2014/10/20,293,29544.78708
2014/10/21,294,29878.31858
2014/10/22,295,28868.71508
2014/10/23,296,28504.82315
2014/10/24,297,28410.48035
2014/10/25,298,26082.02443
2014/10/26,299,24966.34256
2014/10/27,300,28675.6238
2014/10/28,301,28510.10101
2014/10/29,302,28991.35447
2014/10/30,303,29152.54237
2014/10/31,304,28798.31933
2014/11/1,305,26339.34536
2014/11/2,306,24001.207
2014/11/3,307,27079.43925
2014/11/4,308,27404.90279
2014/11/5,309,27577.31959
2014/11/6,310,27660.37736
2014/11/7,311,27548.3871
2014/11/8,312,25692.05569
2014/11/9,313,23962.01703
2014/11/10,314,27780.08299
2014/11/11,315,28200.23838
2014/11/12,316,27799.31585
2014/11/13,317,27415.43799
2014/11/14,318,27327.84431
2014/11/15,319,25257.099
2014/11/16,320,23906.4143
2014/11/17,321,27480.55988
2014/11/18,322,27165.28926
2014/11/19,323,27277.35369
2014/11/20,324,27790.22403
2014/11/21,325,27936.34497
2014/11/22,326,25290.37391
2014/11/23,327,24297.45889
