day,Temperature,T Max,T Min,RH,WS,body_temp
1,17.6,22.8,12.6,64,2.6,22.86481794
2,20.2,25.3,15.6,64,1.4,26.81732452
3,19.9,23.3,17.3,67,1.1,24.63956093
4,17.7,19.2,14.6,57,2.2,18.36811212
5,15.7,19.1,12.5,58,2.7,17.96753005
6,17.9,21.5,14.8,58,3.4,20.41669007
7,19.6,25.7,15.3,61,1.2,27.26450386
8,17,23.3,13.9,71,1.6,24.54277352
9,13.1,14.2,12.4,75,1.9,13.25725738
10,14.9,16.2,12.7,71,3.8,14.28731086
11,19.3,24.2,16,64,2.8,24.50218706
12,17.1,20,15.4,74,1.3,20.70675674
13,15.5,16.3,14.4,75,2.2,15.59591527
14,14,15.4,12.9,78,1.5,15.06475349
15,14.6,16.7,12.2,57,3,14.88043403
16,15.3,19.1,12,59,2.7,18.01164264
17,16.3,20.8,12.4,60,2.8,20.05215292
18,14.3,17.4,12.2,58,1.9,16.46098961
19,16.4,20.8,13.5,53,3.4,19.31913508
20,15.7,20.3,12,65,1.6,20.46063228
21,12.9,15.8,10.9,54,2.9,13.78155734
22,12.5,15.5,10.3,55,2.6,13.66293763
23,15.7,20.7,11.2,53,3.1,19.39422292
24,16.4,22.8,11,58,1.2,23.44267876
25,17.9,25.9,12.4,56,1.2,27.18714207
26,16.4,17.4,14.8,62,2.3,16.35960958
27,17.4,20.8,15.2,59,3.4,19.61315037
28,19.1,25.7,13.8,59,2.8,26.09281521
29,20.1,25.7,16.9,61,2.3,26.54950386
30,19,26.8,14,59,0.8,28.79694701
31,20.9,25.9,15.9,60,2.9,26.34865221
32,20.6,27.1,16.1,57,1.2,28.77947408
33,21.2,26.2,16.5,63,1,28.17050736
34,21.4,26.8,18.4,64,1.9,28.43321371
35,15.3,18.5,14,72,4.7,16.5444012
36,17.1,19.6,14.1,77,3.6,18.84783912
37,18.6,23.4,16.4,76,0.9,25.41323774
38,17.2,18.1,16,79,0.7,18.94278077
39,14.3,16.2,13.3,77,2.9,15.092816
40,13.1,14.3,11,82,2.5,13.21471746
41,10,11.6,8,86,1.6,10.66932814
42,8.7,9.4,7.8,79,1.3,8.091640433
43,11.6,13.4,9.2,82,0.6,13.3624172
44,13.7,15.1,12.1,80,1.1,15.0293379
45,12.1,12.8,11.4,79,1.4,12.03325545
46,13.9,15.9,11.7,69,2.6,14.63376939
47,17.5,22.5,14.9,69,1.6,23.41082943
48,20,26.9,14.5,66,0.9,29.35499705
49,17.5,24.1,13.1,73,1.5,25.75894038
50,12.2,13.5,11.6,82,1.3,13.02784773
51,12.5,15.1,11.1,61,2.3,13.59850765
52,14.8,19,10.7,59,3,17.69648553
53,17.5,21.6,13.8,66,2.8,21.34057102
54,19.3,23.4,15.8,61,3.5,22.86226976
55,20.6,26.2,17.3,61,2.2,27.25487221
56,20.2,25.2,15.2,67,0.9,27.20572769
57,20.4,23.9,18.4,67,1,25.46897346
58,19.2,21.6,18,70,4.6,20.3764238
59,21.6,27.5,18.6,66,3,28.7806112
60,20.5,26.1,18.1,69,1.1,28.38090103
61,15.3,18.4,14.1,75,3.2,17.52299974
62,15.3,17,13.5,76,3.1,15.90356918
63,16,17.3,14.7,80,1.1,17.72944274
64,14.6,15.7,13.4,74,2.5,14.63717239
65,13.7,14.5,12.7,80,3,13.06649116
66,14.8,16.5,13.2,81,2.8,15.67416595
67,15,16.7,13.3,83,1.2,17.03680745
68,13.4,14.4,12.1,78,2,13.53003516
69,15.4,17.6,13.1,64,4.4,15.31411605
70,18.8,21.2,15.9,64,2.3,21.06706109
71,18,21.8,16.2,76,0.7,23.47621769
72,15.8,17.9,14.7,75,2.1,17.62023595
73,14.8,18.3,13.4,57,3.2,16.64389618
74,17.8,22.4,13.6,58,2.9,21.84480494
75,18.8,22.6,16.8,69,0.7,24.12263202
76,20.8,26.6,15.8,76,0.9,29.65591454
77,22.7,28.6,17.7,77,1.3,32.20682762
78,24.4,29.9,20.5,76,1.1,34.0719207
79,18,23.1,14.3,79,2.8,23.95716141
80,14.1,15.3,11.8,64,3.2,13.35259327
81,16.6,18.7,14.6,63,4.7,16.40364393
82,19.8,24.4,16.4,63,4,23.91561553
83,21.4,26.6,18.1,68,2.6,27.99544985
84,22.9,28.5,18.1,69,1.1,31.577552
85,25.1,30.4,21.6,69,1.2,34.10668043
86,24.9,30,22.6,77,2.5,33.38722286
87,26.2,32.3,22.4,74,1.2,37.24383672
